cohort,analysis_role,primary_eligible,split_method,experimental_split,n_images,n_patients,n_normal,n_pneumonia,normal_percentage,pneumonia_percentage,n_overlapping_patients,n_repeated_md5,n_cross_split_exact_duplicate_groups
all_images_5856,sensitivity_only,False,original,test,624,404,234,390,37.5,62.5,264,32,0
all_images_5856,sensitivity_only,False,original,train,5216,2635,1341,3875,25.71,74.29,264,32,0
all_images_5856,sensitivity_only,False,original,val,16,15,8,8,50.0,50.0,264,32,0
all_images_5856,sensitivity_only,False,image_level_stratified,test,586,519,158,428,26.96,73.04,684,32,7
all_images_5856,sensitivity_only,False,image_level_stratified,train,4684,2496,1267,3417,27.05,72.95,684,32,7
all_images_5856,sensitivity_only,False,image_level_stratified,validation,586,534,158,428,26.96,73.04,684,32,7
all_images_5856,sensitivity_only,False,patient_level_grouped_stratified_frozen,test,615,279,153,462,24.88,75.12,0,32,1
all_images_5856,sensitivity_only,False,patient_level_grouped_stratified_frozen,train,4634,2232,1273,3361,27.47,72.53,0,32,1
all_images_5856,sensitivity_only,False,patient_level_grouped_stratified_frozen,validation,607,279,157,450,25.86,74.14,0,32,1
global_exact_deduplicated_5824,primary_control,True,original_deduplicated,test,618,403,231,387,37.38,62.62,264,0,0
global_exact_deduplicated_5824,primary_control,True,original_deduplicated,train,5190,2635,1340,3850,25.82,74.18,264,0,0
global_exact_deduplicated_5824,primary_control,True,original_deduplicated,val,16,15,8,8,50.0,50.0,264,0,0
global_exact_deduplicated_5824,primary_control,True,image_level_stratified_deduplicated,test,583,521,158,425,27.1,72.9,649,0,0
global_exact_deduplicated_5824,primary_control,True,image_level_stratified_deduplicated,train,4658,2481,1263,3395,27.11,72.89,649,0,0
global_exact_deduplicated_5824,primary_control,True,image_level_stratified_deduplicated,validation,583,512,158,425,27.1,72.9,649,0,0
global_exact_deduplicated_5824,primary,True,patient_level_grouped_stratified_frozen_deduplicated,test,614,279,153,461,24.92,75.08,0,0,0
global_exact_deduplicated_5824,primary,True,patient_level_grouped_stratified_frozen_deduplicated,train,4607,2231,1270,3337,27.57,72.43,0,0,0
global_exact_deduplicated_5824,primary,True,patient_level_grouped_stratified_frozen_deduplicated,validation,603,279,156,447,25.87,74.13,0,0,0
