architecture,seed,dAUROC,dAUROC_ci_low,dAUROC_ci_high,dAUROC_boot_p,dAUPRC,dBrier,dSensitivity_PNEUMONIA,dSpecificity_NORMAL,dBalancedAcc,mcnemar_p,mcnemar_b_cleanRight_leakyWrong,mcnemar_c_cleanWrong_leakyRight
densenet121,42,0.0012910166756321395,-0.00447563103043725,0.009031984570777711,0.821,0.0017082068586386167,0.0049667182834223535,-0.00591715976331364,-0.018181818181818188,-0.01204948897256597,0.453125,5,2
densenet121,123,0.005164066702528225,-0.0023330120312528707,0.015708190386246206,0.273,0.006101194401929688,0.00923711647355599,0.01183431952662728,-0.063636363636363636,-0.025901022054868217,0.2265625,8,3
densenet121,456,0.0008606777837546487,-0.00739305954044345,0.011675219394667272,0.948,0.0028598614218012797,-0.00060593287324026,0.0,-0.09090909090909038,-0.0045454545454545519,1.0,5,4
densenet121,789,0.0008068854222701427,-0.00720929070929816,0.0107590333779795271,0.92,0.0019355509736054266,0.012037946602540196,0.00591715976331364,-0.018181818181818188,-0.00613232920925233,1.0,5,4
densenet121,2026,-0.0021516944459386677,-0.0076397768356832926,0.002104965378414682,0.432,-0.001725772562610861,-0.0007956366946358859,-0.017751479289940808,0.02727272727272726,0.004760623991393209,1.0,5,5
efficientnet_b0,42,-0.0030661646046260538,-0.008586871461871357,0.001635071088811815,0.206,-0.0019027908401642035,0.008073126053205704,-0.01183431952662728,-0.018181818181818188,-0.01500806885422279,0.2890625,6,2
efficientnet_b0,123,-0.005594405594405494,-0.01590312206161546,0.0005320249421884005,0.133,-0.006715128129599405,0.0088833287025390928,-0.02958579881656087,0.02727272727272726,-0.001156535719204306,0.7265625,5,3
efficientnet_b0,456,-0.005755782678859546,-0.016026782986430923,0.0,0.052,-0.006670370790056945,0.004820712351610634,-0.01183431952662728,0.0,-0.00591715976331364,0.625,3,1
efficientnet_b0,789,-0.007638515330822937,-0.020089445915926162,0.0021655557371330586,0.175,-0.011696108105058611,0.014113544731579674,0.023668639053254448,-0.07272727272727275,-0.024529316837009207,0.3876953125,8,4
efficientnet_b0,2026,-0.002931683700914456,-0.015299764862544266,0.007298942825358481,0.635,-0.008865273470531232,-0.007888494740808175,0.0,0.036363636363636376,0.018181818181818188,0.2890625,2,6
swin_tiny,42,-0.0005379236148466138,-0.004564871042871033,0.004359247187710902,0.773,-0.0001486641866852434,0.01067011129911119,-0.01183431952662728,-0.018181818181818188,-0.01500806885422279,0.21875,5,1
swin_tiny,123,-0.00021516944593880094,-0.0031628574514249,0.002644364964692193,0.896,-0.0003634321608291246,-0.007712783021319829,0.01183431952662728,0.00909090909090938,0.010462614308768048,0.375,1,4
swin_tiny,456,-0.0028509995158687475,-0.009786552619582561,0.002955128868694123,0.371,-0.001864078575893563,0.007361378478644206,0.00591715976331364,-0.0272727272727272726,-0.010677783754706738,0.7265625,5,3
swin_tiny,789,0.0005379236148467248,-0.0020630313451141637,0.00337946211823448,0.688,0.00024187090084593077,-0.0046300448209636439,0.0,0.0,0.0,1.0,2,2
swin_tiny,2026,-0.002097902097902171,-0.006509511739185065,0.0012165988703537929,0.267,-0.0015809328267285538,-1.9694728686226598e-05,-0.00591715976331364,-0.09090909090909038,-0.00750403442711145,0.625,3,1
