run_id,arch,seed,mean_iou_lung,mean_energy_in_lung_pct,n_images
EXP_A__controlled__clean__densenet121__seed_42,densenet121,42,0.05482192200085898,20.549140838626077,279
EXP_A__controlled__clean__densenet121__seed_123,densenet121,123,0.064335234634965,21.990995834618438,279
EXP_A__controlled__clean__densenet121__seed_456,densenet121,456,0.06728734817735962,22.44820501397083,279
EXP_A__controlled__clean__densenet121__seed_789,densenet121,789,0.07008496792933452,25.006709908647935,279
EXP_A__controlled__clean__densenet121__seed_2026,densenet121,2026,0.04664130524117551,21.80878539696938,279
EXP_A__controlled__clean__efficientnet_b0__seed_42,efficientnet_b0,42,0.12005038965055284,30.874719677459076,279
EXP_A__controlled__clean__efficientnet_b0__seed_123,efficientnet_b0,123,0.09815043776971302,28.990178361801235,279
EXP_A__controlled__clean__efficientnet_b0__seed_456,efficientnet_b0,456,0.09987956528223314,31.239726178937044,279
EXP_A__controlled__clean__efficientnet_b0__seed_789,efficientnet_b0,789,0.11148477508919333,34.558352579855054,279
EXP_A__controlled__clean__efficientnet_b0__seed_2026,efficientnet_b0,2026,0.11357509598535405,34.99939237968371,279
EXP_A__controlled__clean__swin_tiny__seed_42,swin_tiny,42,0.11717406468545147,31.388544378201082,279
EXP_A__controlled__clean__swin_tiny__seed_123,swin_tiny,123,0.09144751971202576,25.05818865857324,279
EXP_A__controlled__clean__swin_tiny__seed_456,swin_tiny,456,0.18684505147065777,26.696064971762084,279
EXP_A__controlled__clean__swin_tiny__seed_789,swin_tiny,789,0.16055874654380006,22.73713614104633,279
EXP_A__controlled__clean__swin_tiny__seed_2026,swin_tiny,2026,0.16896689316559976,26.894113852226138,279
